Kabupaten/Kota,Kelompok,Jenis,Satuan,2014,2017,2018
Pali,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
Musi_Rawas_Utara,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
Palembang,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,3195.0
Prabumulih,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
Pagar_Alam,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
Lubuk_Linggau,Perikanan_Budidaya,Jaring_Apung,Ton,0.0,0.0,0.0
Ogan_Komering_Ulu,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,3.0,0.0
Ogan_Komering_Ilir,Perikanan_Budidaya,Sistem_Pen,Ton,49988.5,56036.0,59867.0
Muara_Enim,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Lahat,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Musi_Rawas,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Musi_Banyuasin,Perikanan_Budidaya,Sistem_Pen,Ton,104.0,42.0,558.0
Banyuasin,Perikanan_Budidaya,Sistem_Pen,Ton,2989.5,4394.0,17371.0
Ogan_Komering_Ulu_Selatan,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Ogan_Ilir,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Empat_Lawang,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Pali,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Musi_Rawas_Utara,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Palembang,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Prabumulih,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Pagar_Alam,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
Lubuk_Linggau,Perikanan_Budidaya,Sistem_Pen,Ton,0.0,0.0,0.0
