videoId,channelId,title,description,publishAt,videoUrl,countries,likeCount,topLevelComment
GX388Z_ytBA,UCzF4JYxRi8R-figrEefeP1Q,ASMR AYAM GEPREK SAMBEL BAWANG SUPER HOT! | ASMR INDONESIA | NO TALKING,"Dalam video ini, aku makan ayam + nasi + lemon tea dari MOR Convenience Store. KHUSUS JADETABEK bisa order lewat ...",2021-03-20T06:00:07Z,https://www.youtube.com/watch?v=GX388Z_ytBA,ID,41914,"['Kak oliv mah pas mangap masuk nya ayam..<br><br>Lahh akuu pas mangap masuk nya angin doang..😔🤣<br><br>Suksess selalu kakk..😀❤❤', 'allah tuhan ku kelihatan enak woi jadi laper aku', 'spill lipstiknyaa kaa bagus bgtt']"
GX388Z_ytBA,UCzF4JYxRi8R-figrEefeP1Q,ASMR AYAM GEPREK SAMBEL BAWANG SUPER HOT! | ASMR INDONESIA | NO TALKING,"Dalam video ini, aku makan ayam + nasi + lemon tea dari MOR Convenience Store. KHUSUS JADETABEK bisa order lewat ...",2021-03-20T06:00:07Z,https://www.youtube.com/watch?v=GX388Z_ytBA,ID,41914,"['Kak oliv mah pas mangap masuk nya ayam..<br><br>Lahh akuu pas mangap masuk nya angin doang..😔🤣<br><br>Suksess selalu kakk..😀❤❤', 'allah tuhan ku kelihatan enak woi jadi laper aku', 'spill lipstiknyaa kaa bagus bgtt']"
APH2NpBov6I,UClwzfHniEiI28fO2M8bEZzQ,"ASMR MUKBANG CILUNG, BILUNG, INDONESIAN STREETFOOD | EATING SOUNDS!!!",Like Comment Subscribe!! Jangan lupa aktifkan lonceng notification ya guys. Instagram: @fuji_an Tiktok: fujiiian business inquiry: ...,2022-08-06T09:31:03Z,https://www.youtube.com/watch?v=APH2NpBov6I,ID,100269,"['Fuji sok cantik rasa aku ya aku nonton Vidio nya aja tapi nggak ada yang seru apa lagi mukbang bener bener sok cantik dah', 'Jadi pengen deh', 'Kenapa meja kayunya nggk diplastikin dulu, biar enak liatnya mbak Fuji 😅']"
APH2NpBov6I,UClwzfHniEiI28fO2M8bEZzQ,"ASMR MUKBANG CILUNG, BILUNG, INDONESIAN STREETFOOD | EATING SOUNDS!!!",Like Comment Subscribe!! Jangan lupa aktifkan lonceng notification ya guys. Instagram: @fuji_an Tiktok: fujiiian business inquiry: ...,2022-08-06T09:31:03Z,https://www.youtube.com/watch?v=APH2NpBov6I,ID,100269,"['Fuji sok cantik rasa aku ya aku nonton Vidio nya aja tapi nggak ada yang seru apa lagi mukbang bener bener sok cantik dah', 'Jadi pengen deh', 'Kenapa meja kayunya nggk diplastikin dulu, biar enak liatnya mbak Fuji 😅']"
zI-rreRPlPs,UCbta5UYAzeIOQAL7-A4s0WA,ASMR MUKBANG PITBULL EATING RAW FOODS WITH KITTEN,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL.,2022-06-09T13:00:19Z,https://www.youtube.com/watch?v=zI-rreRPlPs,US,16163,"['It&#39;s all Bounce&#39;s food.Not for Collon😅', 'A animal mukbang?...', 'bro vaccumed everything 💀💀']"
_IDi9w94S5I,UCbta5UYAzeIOQAL7-A4s0WA,ASMR MUKBANG DOG EATING RAW WHOLE FISH HORSE EARS,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL.,2022-06-22T13:00:14Z,https://www.youtube.com/watch?v=_IDi9w94S5I,US,13113,"['Thanks for watching😆<br>Help to 400000subscribers！ Share this video with your friends &amp; hit the Like👍', 'Leave out the ear next time', 'I was surprised that dogs also eat fish']"
VI8eRC4wPpk,UCbta5UYAzeIOQAL7-A4s0WA,ASMR Pitbull Eating Raw Foods VenisonSheep kidneyPig tailQuailDuck neck,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL. Today's menu Venison Sheep kidney Pig ...,2021-02-27T03:00:18Z,https://www.youtube.com/watch?v=VI8eRC4wPpk,US,179754,"['Raw meat is good for your dog&#39;s health!  For more information, search for <a href=""http://www.youtube.com/results?search_query=%23rawfeed"">#rawfeed</a> on IG!', 'Good ~👍', 'Agora eu fiquei com pena o bichinho tá chorando de você reparar bem ele tá chorando Olha lá que você reparar bem']"
VI8eRC4wPpk,UCbta5UYAzeIOQAL7-A4s0WA,ASMR Pitbull Eating Raw Foods VenisonSheep kidneyPig tailQuailDuck neck,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL. Today's menu Venison Sheep kidney Pig ...,2021-02-27T03:00:18Z,https://www.youtube.com/watch?v=VI8eRC4wPpk,US,179754,"['Raw meat is good for your dog&#39;s health!  For more information, search for <a href=""http://www.youtube.com/results?search_query=%23rawfeed"">#rawfeed</a> on IG!', 'Good ~👍', 'Agora eu fiquei com pena o bichinho tá chorando de você reparar bem ele tá chorando Olha lá que você reparar bem']"
j6nUoJAkuc8,UCbta5UYAzeIOQAL7-A4s0WA,ASMR MUKBANG PITBULL EATING RAW FOODS COW KIDNEY WHALE RIBS,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL. Today's meal Cow kidney Whale ribs ...,2022-08-07T15:00:13Z,https://www.youtube.com/watch?v=j6nUoJAkuc8,US,22657,"['Thanks for watching😆<br>Help to 400000subscribers！ Share this video with your friends &amp; hit the Like👍', '🥰🥰🥰🥰🥰', 'AHHH, MEU DEUS, QUE COISINHA MAIS LINDAAAA.. ADORO PITBULLS.. HIHIHIH 🤭🤎🐕🐾🙌🏻😂']"
Bp2YKKnuTi0,UCbta5UYAzeIOQAL7-A4s0WA,Best Dog ASMR Mukbang#shorts,,2022-10-07T11:00:14Z,https://www.youtube.com/watch?v=Bp2YKKnuTi0,US,872,"['He eats faster', 'Go Duggee Go eat that good meal', 'Please see Jw or Jehovah&#39;s witnesses to know when the Earth will be perfect']"
