Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Lubuk_Linggau,Tanaman_Perkebunan,Kopi,Ribu_Ton,0.0,0.0,0.0
Ogan_Komering_Ulu,Tanaman_Perkebunan,Lada,Ribu_Ton,51.0,51.0,52.0
Ogan_Komering_Ilir,Tanaman_Perkebunan,Lada,Ribu_Ton,75.0,55.0,58.0
Muara_Enim,Tanaman_Perkebunan,Lada,Ribu_Ton,94.0,94.0,99.0
Lahat,Tanaman_Perkebunan,Lada,Ribu_Ton,2293.5,2300.0,2280.0
Musi_Rawas,Tanaman_Perkebunan,Lada,Ribu_Ton,83.0,109.0,114.0
Musi_Banyuasin,Tanaman_Perkebunan,Lada,Ribu_Ton,2.0,2.0,3.0
Banyuasin,Tanaman_Perkebunan,Lada,Ribu_Ton,18.62,36.0,36.0
Ogan_Komering_Ulu_Selatan,Tanaman_Perkebunan,Lada,Ribu_Ton,747.33,803.0,631.0
Ogan_Komering_Ulu_Timur,Tanaman_Perkebunan,Lada,Ribu_Ton,426.87,421.0,427.0
Ogan_Ilir,Tanaman_Perkebunan,Lada,Ribu_Ton,0.0,0.0,0.0
Empat_Lawang,Tanaman_Perkebunan,Lada,Ribu_Ton,50.4,250.0,250.0
Pali,Tanaman_Perkebunan,Lada,Ribu_Ton,0.0,0.0,0.0
Musi_Rawas_Utara,Tanaman_Perkebunan,Lada,Ribu_Ton,25.0,25.0,21.0
Palembang,Tanaman_Perkebunan,Lada,Ribu_Ton,0.0,0.0,0.0
Prabumulih,Tanaman_Perkebunan,Lada,Ribu_Ton,0.0,0.0,0.0
Pagar_Alam,Tanaman_Perkebunan,Lada,Ribu_Ton,260.33,295.0,133.0
Lubuk_Linggau,Tanaman_Perkebunan,Lada,Ribu_Ton,0.0,0.0,0.0
Ogan_Komering_Ulu,Tanaman_Perkebunan,Kakao,Ribu_Ton,576.86,576.86,238.0
Ogan_Komering_Ilir,Tanaman_Perkebunan,Kakao,Ribu_Ton,1406.15,1436.05,93.0
Muara_Enim,Tanaman_Perkebunan,Kakao,Ribu_Ton,292.55,289.85,69.0
Lahat,Tanaman_Perkebunan,Kakao,Ribu_Ton,394.23,394.23,25.0
Musi_Rawas,Tanaman_Perkebunan,Kakao,Ribu_Ton,47.75,50.83,104.0
Musi_Banyuasin,Tanaman_Perkebunan,Kakao,Ribu_Ton,270.0,272.0,272.0
Banyuasin,Tanaman_Perkebunan,Kakao,Ribu_Ton,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Tanaman_Perkebunan,Kakao,Ribu_Ton,456.59,468.84,713.0
Ogan_Komering_Ulu_Timur,Tanaman_Perkebunan,Kakao,Ribu_Ton,183.87,180.19,16395.18
Ogan_Ilir,Tanaman_Perkebunan,Kakao,Ribu_Ton,125.69,105.59,62991.52
Empat_Lawang,Tanaman_Perkebunan,Kakao,Ribu_Ton,302.48,1197.28,2288.23
Pali,Tanaman_Perkebunan,Kakao,Ribu_Ton,12.0,10.0,1.0
Musi_Rawas_Utara,Tanaman_Perkebunan,Kakao,Ribu_Ton,22.3,22.3,101.0
Palembang,Tanaman_Perkebunan,Kakao,Ribu_Ton,32.16,31.0,9.0
Prabumulih,Tanaman_Perkebunan,Kakao,Ribu_Ton,373.5,245.5,8.0
Pagar_Alam,Tanaman_Perkebunan,Kakao,Ribu_Ton,24.08,40.3,3406.95
Lubuk_Linggau,Tanaman_Perkebunan,Kakao,Ribu_Ton,146.49,159.95,7.0
